Address,Amt per m²,Balcony,District,Elevator,Floor,Location,Monthly Pay,Municipality,Patio,Price,Size in m²,Total Rooms,Latitude,Longitude,lat_2,long_2,Distance
Idunslingan 29,46600.0,True,Skälby,True,4.0,"Skälby,Järfälla",4139.0,Järfälla kommun,False,3495000,75.0,3.0,59.4024151,17.8379725,59.3324,18.0645,15.011110233317533
Knypplerskevägen 12,53571.42857142857,False,Bromma,False,2.0,"Bromma,Stockholm",3937.0,Stockholms kommun,False,2250000,42.0,2.0,59.3399318,17.9295482,59.3324,18.0645,7.698725674108142
Nysättravägen 19,23566.87898089172,True,Brunnsäng,True,9.0,"Brunnsäng,Södertälje",5658.0,Södertälje kommun,False,1850000,78.5,3.0,59.2104469,18.050135,59.3324,18.0645,13.585105907202381
Lagmansbacken 7,38333.333333333336,True,Alby,True,1.0,"Alby,Botkyrka",2663.0,Botkyrka kommun,False,1150000,30.0,1.0,59.240191949999996,17.844887149999998,59.3324,18.0645,16.145760438922625
Hovstagränd 3,36293.706293706295,True,Hagsätra,True,1.0,"Hagsätra,Stockholm",6051.0,Stockholms kommun,False,2595000,71.5,3.5,59.2653796,18.019468987114543,59.3324,18.0645,7.878629560512807
Sandfjärdsgatan 98,39668.87417218543,False,Årsta,True,9.0,"Årsta,Stockholm",5673.0,Stockholms kommun,False,2995000,75.5,3.5,59.2927361,18.0505012,59.3324,18.0645,4.481399238203338
Sysslomansgatan 11,103421.05263157896,True,Kungsholmen,True,6.0,"Kungsholmen,Stockholm",2279.0,Stockholms kommun,False,3930000,38.0,1.5,59.3308045,18.024758,59.3324,18.0645,2.2610195586467716
Vega Allé 94,44301.07526881721,True,Vega,True,4.0,"Vega,Haninge",6720.0,Haninge kommun,False,4120000,93.0,4.0,59.1853235,18.1335545,59.3324,18.0645,16.8185525054339
Hästholmsvägen 33,64462.36559139785,True,Saltsjöqvarn,True,4.0,"Saltsjöqvarn,Nacka",5597.0,Nacka kommun,False,5995000,93.0,3.0,59.311625,18.1066603,59.3324,18.0645,3.325288612646854
Tavelsjövägen 20,57413.79310344828,False,Årsta,False,1.0,"Årsta,Stockholm",4567.0,Stockholms kommun,False,3330000,58.0,2.0,59.2991272,18.0377155,59.3324,18.0645,3.9997753158694405
Skarpövägen 19,45135.13513513513,True,Orminge,True,2.0,"Orminge,Nacka",2193.0,Nacka kommun,False,1670000,37.0,1.5,59.33285145,18.26165735,59.3324,18.0645,11.181952678909203
Runiusgatan 9,76111.11111111111,False,Kungsholmen,True,2.0,"Kungsholmen,Stockholm",3093.0,Stockholms kommun,False,5480000,72.0,3.0,59.3293605,18.008302,59.3324,18.0645,3.205320110187176
Polhemsgatan 18B,99622.64150943396,False,Kungsholmen,False,1.0,"Kungsholmen,Stockholm",3379.0,Stockholms kommun,False,5280000,53.0,2.0,59.3287154,18.0357035,59.3324,18.0645,1.6839055764600959
Beckomberga Ängsväg 22,55642.857142857145,True,Bromma,True,4.0,"Bromma,Stockholm",4908.0,Stockholms kommun,False,3895000,70.0,3.0,59.3570944,17.898936671639433,59.3324,18.0645,9.780013208648253
Warfvinges väg 15,83406.59340659341,True,Kungsholmen,False,1.0,"Kungsholmen,Stockholm",3722.0,Stockholms kommun,False,3795000,45.5,2.0,59.3368706,18.0131296,59.3324,18.0645,2.955423986793969
Rörstrandsgatan 18,127872.34042553192,True,Vasastan,True,5.0,"Vasastan,Stockholm",1955.0,Stockholms kommun,False,6010000,47.0,2.0,59.340258,18.0328574,59.3324,18.0645,1.9958542195004458
Beckombergavägen 215,47539.68253968254,True,Bromma,True,5.0,"Bromma,Stockholm",4773.0,Stockholms kommun,False,2995000,63.0,2.0,59.35531805,17.900805855168763,59.3324,18.0645,9.624406533060645
Sylvangatan 5,75689.6551724138,True,Haga Norra,True,2.0,"Haga Norra,Solna",2279.0,Solna kommun,False,2195000,29.0,1.0,59.3649,18.0167427,59.3324,18.0645,4.515444582874219
Wiboms väg 2,50679.61165048544,True,Västra Skogen,True,3.0,"Västra Skogen,Solna",6828.0,Solna kommun,False,5220000,103.0,4.0,59.34833515,17.99651745,59.3324,18.0645,4.242515613445362
Hagalundsgatan 30,43771.929824561405,True,Hagalund,True,8.0,"Hagalund,Solna",2592.0,Solna kommun,False,2495000,57.0,2.0,59.3615588,18.0141669,59.3324,18.0645,4.3191163365276175
Inedalsgatan 15,182142.85714285716,True,Kungsholmen,True,1.0,"Kungsholmen,Stockholm",1336.0,Stockholms kommun,False,2550000,14.0,1.0,59.3354144,18.0360942,59.3324,18.0645,1.6454839952623046
Ölandsgatan 44,109800.0,False,Södermalm,True,1.0,"Södermalm,Stockholm",1665.0,Stockholms kommun,False,2745000,25.0,1.0,59.3086634,18.0772854,59.3324,18.0645,2.737254479791621
Tantogatan 43,88941.17647058824,False,Södermalm Högalid,True,9.0,"Södermalm Högalid,Stockholm",2520.0,Stockholms kommun,False,3780000,42.5,2.0,59.3106102,18.0485332,59.3324,18.0645,2.5867156837750582
Centralvägen 10,36633.66336633663,True,Vallentuna Centrum,False,2.0,"Vallentuna Centrum,Vallentuna",3764.0,Vallentuna kommun,False,1850000,50.5,2.0,59.5206844,17.9068164,59.3324,18.0645,22.75661552205202
Bollmora Gårdsväg 9,40000.0,True,Centrala Tyresö,True,2.0,"Centrala Tyresö,Tyresö",6996.0,Tyresö kommun,False,4160000,104.0,4.0,59.2473126,18.2208449,59.3324,18.0645,12.974598658803666
Tussmötevägen 120B,70641.02564102564,True,Svedmyra,True,2.0,"Svedmyra,Stockholm",6520.0,Stockholms kommun,False,5510000,78.0,3.0,59.2801401,18.0501357,59.3324,18.0645,5.867952194662434
Klädesvägen 38,57900.0,True,Bromma,True,3.0,"Bromma,Stockholm",4207.0,Stockholms kommun,False,2895000,50.0,2.0,59.338381299999995,17.944627046130684,59.3324,18.0645,6.830536931326746
Hövdingagatan 5A,71339.28571428571,True,Aspudden,False,4.0,"Aspudden,Stockholm",4120.0,Stockholms kommun,False,3995000,56.0,3.0,59.30675,17.9963204,59.3324,18.0645,4.806100929635358
Grafikvägen 30,63510.63829787234,False,Gullmarsplan,True,1.0,"Gullmarsplan,Stockholm",5151.0,Stockholms kommun,True,5970000,94.0,4.0,59.2971682,18.0762977,59.3324,18.0645,3.974386551285176
Källtorpsvägen 11,54756.09756097561,True,Näsbypark,True,4.0,"Näsbypark,Täby",5625.0,Täby kommun,False,4490000,82.0,4.0,59.1901883,18.186723829166667,59.3324,18.0645,17.271702483704946
Luntmakargatan 74,131315.7894736842,False,Vasastan,False,1.0,"Vasastan,Stockholm",1140.0,Stockholms kommun,False,2495000,19.0,1.0,59.3421186,18.0590066,59.3324,18.0645,1.1246630852402648
Oppundavägen 6,62714.28571428572,False,Enskede,False,1.0,"Enskede,Stockholm",2130.0,Stockholms kommun,False,2195000,35.0,1.0,59.2724451,18.069138,59.3324,18.0645,6.671877373780172
Floragatan 10,148518.5185185185,False,Östermalm,True,6.0,"Östermalm,Stockholm",549.0,Stockholms kommun,False,4010000,27.0,1.0,59.3425063,18.0758912,59.3324,18.0645,1.2961970199010457
Sågargatan 14,130000.0,False,Södermalm,True,4.0,"Södermalm,Stockholm",1391.0,Stockholms kommun,False,2730000,21.0,1.0,59.3142078,18.0912741,59.3324,18.0645,2.529655732142675
